mu0 A1 A2 dim_unstable
0.0 0.0 0.0 0
0.01 0.0 0.03333333333333333 2
0.02 0.0 0.04714045207910317 2
0.03 0.0 0.05773502691896258 2
0.04 0.0 0.06666666666666667 2
0.05 0.0 0.07453559924999299 2
0.06 0.0 0.08164965809277261 2
0.07 0.0 0.08819171036881969 2
0.08 0.0 0.09428090415820634 2
0.09 0.0 0.09999999999999999 2
0.1 0.0 0.10540925533894598 2
0.11 0.0 0.11055415967851333 2
0.12 0.0 0.11547005383792516 2
0.13 0.0 0.1201850425154663 2
0.14 0.0 0.12472191289246473 2
0.15 0.0 0.12909944487358055 2
0.16 0.0 0.13333333333333333 2
0.17 0.0 0.13743685418725535 2
0.18 0.0 0.1414213562373095 2
0.19 0.0 0.1452966314513558 2
0.2 0.0 0.14907119849998599 2
0.21 0.0 0.15275252316519466 2
0.22 0.0 0.15634719199411432 2
0.23 0.0 0.15986105077709067 2
0.24 0.0 0.16329931618554522 2
0.25 0.0 0.16666666666666666 2
0.26 0.0 0.1699673171197595 2
0.27 0.0 0.17320508075688773 2
0.28 0.0 0.17638342073763938 2
0.29 0.0 0.17950549357115014 2
0.3 0.0 0.18257418583505536 2
0.31 0.0 0.1855921454276674 2
0.32 0.0 0.18856180831641267 2
0.33 0.0 0.19148542155126763 2
0.34 0.0 0.19436506316151 2
0.35 0.0 0.19720265943665388 2
0.36 0.0 0.19999999999999998 2
0.37 0.0 0.20275875100994065 2
0.38 0.0 0.20548046676563256 2
0.39 0.0 0.20816659994661327 2
0.4 0.0 0.21081851067789195 2
0.41 0.0 0.21343747458109497 2
0.42 0.0 0.21602468994692867 2
0.43 0.0 0.21858128414340003 2
0.44 0.0 0.22110831935702666 2
0.45 0.0 0.22360679774997896 2
0.46 0.0 0.22607766610417562 2
0.47 0.0 0.22852182001336813 2
0.48 0.0 0.23094010767585033 2
0.49 0.0 0.23333333333333334 2
0.5 0.0 0.23570226039551584 2
0.51 0.0 0.23804761428476165 2
0.52 0.0 0.2403700850309326 2
0.53 0.0 0.24267032964268395 2
0.54 0.0 0.24494897427831783 2
0.55 0.0 0.2472066162365221 2
0.56 0.0 0.24944382578492946 2
0.57 0.0 0.2516611478423583 2
0.58 0.0 0.2538591035287969 2
0.59 0.0 0.25603819159562025 2
0.6 0.0 0.2581988897471611 2
0.61 0.0 0.2603416558635552 2
0.62 0.0 0.26246692913372704 2
0.63 0.0 0.264575131106459 2
0.64 0.0 0.26666666666666666 2
0.65 0.0 0.268741924943285 2
0.66 0.0 0.27080128015453203 2
0.67 0.0 0.27284509239574833 2
0.68 0.0 0.2748737083745107 2
0.69 0.0 0.27688746209726917 2
0.7 0.0 0.27888667551135854 2
0.71 0.0 0.28087165910587863 2
0.72 0.0 0.282842712474619 2
0.73 0.0 0.2848001248439177 2
0.74 0.0 0.28674417556808757 2
0.75 0.0 0.28867513459481287 2
0.76 0.0 0.2905932629027116 2
0.77 0.0 0.2924988129130707 2
0.78 0.0 0.2943920288775949 2
0.79 0.0 0.29627314724385295 2
0.8 0.0 0.29814239699997197 2
0.81 0.0 0.30000000000000004 2
0.82 0.0 0.30184617127124724 2
0.83 0.0 0.30368111930480995 2
0.84 0.0 0.30550504633038933 2
0.85 0.0 0.3073181485764296 2
0.86 0.0 0.30912061651652345 2
0.87 0.0 0.3109126351029605 2
0.88 0.0 0.31269438398822863 2
0.89 0.0 0.31446603773522014 2
0.9 0.0 0.31622776601683794 2
0.91 0.0 0.31797973380564853 2
0.92 0.0 0.31972210155418135 2
0.93 0.0 0.32145502536643183 2
0.94 0.0 0.32317865716108857 2
0.95 0.0 0.32489314482696546 2
0.96 0.0 0.32659863237109044 2
0.97 0.0 0.32829526005987014 2
0.98 0.0 0.3299831645537222 2
0.99 0.0 0.33166247903553997 2
1.0 0.0 0.3333333333333333 2
1.01 0.0 0.334995854037363 2
1.02 0.0 0.33665016461206926 2
1.03 0.0 0.338296385503074 2
1.04 0.0 0.339934634239519 2
1.05 0.0 0.34156502553198664 2
1.06 0.0 0.34318767136623335 2
1.07 0.0 0.34480268109295337 2
1.08 0.0 0.34641016151377546 2
1.09 0.0 0.348010216963685 2
1.1 0.0 0.34960294939005054 2
1.11 0.0 0.3511884584284246 2
1.12 0.0 0.35276684147527876 2
1.13 0.0 0.3543381937578216 2
1.14 0.0 0.3559026084010437 2
1.15 0.0 0.35746017649212025 2
1.16 0.0 0.3590109871423003 2
1.17 0.0 0.36055512754639896 2
1.18 0.0 0.3620926830400072 2
1.19 0.0 0.3636237371545238 2
1.2 0.0 0.3651483716701107 2
1.21 0.0 0.3666666666666667 2
1.22 0.0 0.3681787005729087 2
1.23 0.0 0.3696845502136472 2
1.24 0.0 0.3711842908553348 2
1.25 0.0 0.37267799624996495 2
1.26 0.0 0.3741657386773941 2
1.27 0.0 0.3756475889861548 2
1.28 0.0 0.37712361663282534 2
1.29 0.0 0.37859388972001823 2
1.3 0.0 0.380058475033046 2
1.31 0.0 0.3815174380753199 2
1.32 0.0 0.38297084310253526 2
1.33 0.0 0.3844187531556932 2
1.34 0.0 0.38586123009300755 2
1.35 0.0 0.3872983346207417 2
1.36 0.0 0.38873012632302 2
1.37 0.0 0.3901566636906542 2
1.38 0.0 0.39157800414902433 2
1.39 0.0 0.3929942040850532 2
1.4 0.0 0.39440531887330776 2
1.41 0.0 0.3958114029012639 2
1.42 0.0 0.39721250959376614 2
1.43 0.0 0.39860869143671324 2
1.44 0.0 0.39999999999999997 2
1.45 0.0 0.4013864859597432 2
1.46 0.0 0.4027681991198191 2
1.47 0.0 0.40414518843273806 2
1.48 0.0 0.4055175020198813 2
1.49 0.0 0.40688518719112343 2
1.5 0.0 0.408248290463863 2
1.51 0.0 0.4096068575814836 2
1.52 0.0 0.4109609335312651 2
1.53 0.0 0.412310562561766 2
1.54 0.0 0.41365578819969523 2
1.55 0.0 0.4149966532662911 2
1.56 0.0 0.41633319989322654 2
1.57 0.0 0.4176654695380556 2
1.58 0.0 0.41899350299921784 2
1.59 0.0 0.42031734043061636 2
1.6 0.0 0.4216370213557839 2
1.61 0.0 0.4229525846816507 2
1.62 0.0 0.42426406871192857 2
1.63 0.0 0.4255715111601235 2
